state,deaths,cases,population
Alabama,427.0,38841.0,4887871.0
Colorado,106.0,13112.0,5695564.0
Connecticut,1687.0,14501.0,3572665.0
Illinois,3035.0,67342.0,12741080.0
Iowa,0.0,0.0,3156145.0
Iowa,238.0,24108.0,3156145.0
Kansas,125.0,3979.0,2911510.0
Kentucky,198.0,18245.0,4468402.0
Louisiana,408.0,19191.0,4659978.0
Maryland,303.0,20787.0,6042718.0
Michigan,1740.0,19233.0,9995915.0
Minnesota,0.0,0.0,5611179.0
Minnesota,0.0,0.0,5611179.0
Montana,135.0,10446.0,1062305.0
Nebraska,81.0,11277.0,1929268.0
New Mexico,141.0,4458.0,2095428.0
Oklahoma,406.0,74983.0,3943079.0
Oregon,238.0,17408.0,4190713.0
Pennsylvania,558.0,25648.0,12807060.0
Puerto Rico,84.0,710.0,3195153.0
South Dakota,202.0,23603.0,882235.0
Texas,4600.0,276502.0,28701845.0
Virginia,406.0,30706.0,8517685.0
Washington,232.0,22979.0,7535591.0
Wyoming,7.0,450.0,577737.0
Alabama,0.0,0.0,4887871.0
Alabama,358.0,28272.0,4887871.0
Alaska,3.0,129.0,737438.0
Arizona,660.0,80871.0,7171646.0
Arkansas,72.0,3972.0,3013825.0
Colorado,668.0,11094.0,5695564.0
Delaware,10.0,319.0,967171.0
Florida,4344.0,153085.0,21299325.0
Georgia,1473.0,110773.0,10519475.0
Hawaii,83.0,2687.0,1420491.0
Illinois,2256.0,46924.0,12741080.0
Iowa,7.0,497.0,3156145.0
Louisiana,239.0,5237.0,4659978.0
Louisiana,561.0,18564.0,4659978.0
Michigan,0.0,0.0,9995915.0
Michigan,1631.0,76217.0,9995915.0
Missouri,968.0,59277.0,6126452.0
Nebraska,0.0,0.0,1929268.0
Nebraska,347.0,19281.0,1929268.0
New Jersey,8371.0,99956.0,8908520.0
North Carolina,531.0,18394.0,10383620.0
North Carolina,535.0,65264.0,10383620.0
North Dakota,3.0,122.0,760077.0
Oklahoma,259.0,22246.0,3943079.0
Oregon,223.0,30510.0,4190713.0
Pennsylvania,471.0,25304.0,12807060.0
Puerto Rico,227.0,8524.0,3195153.0
South Dakota,45.0,2544.0,882235.0
Tennessee,240.0,20943.0,6770010.0
Texas,901.0,35925.0,28701845.0
Texas,5472.0,196325.0,28701845.0
Vermont,0.0,427.0,626299.0
Wisconsin,937.0,115595.0,5813568.0
Arkansas,183.0,21734.0,3013825.0
Colorado,234.0,36814.0,5695564.0
Colorado,752.0,125555.0,5695564.0
Connecticut,69.0,3128.0,3572665.0
Connecticut,33.0,3069.0,3572665.0
Delaware,20.0,2641.0,967171.0
Florida,85.0,6741.0,21299325.0
Georgia,0.0,0.0,10519475.0
Hawaii,1.0,34.0,1420491.0
Hawaii,1.0,265.0,1420491.0
Illinois,681.0,58996.0,12741080.0
Indiana,1020.0,16739.0,6691878.0
Kentucky,170.0,14527.0,4468402.0
Maine,48.0,792.0,1338404.0
Michigan,0.0,0.0,9995915.0
Michigan,257.0,19846.0,9995915.0
Missouri,246.0,28804.0,6126452.0
Montana,11.0,255.0,1062305.0
Nebraska,174.0,25168.0,1929268.0
Nevada,26.0,1114.0,3034392.0
Nevada,295.0,10752.0,3034392.0
New Hampshire,17.0,692.0,1356458.0
New Mexico,345.0,21263.0,2095428.0
North Dakota,0.0,0.0,760077.0
North Dakota,16.0,945.0,760077.0
North Dakota,219.0,8338.0,760077.0
Ohio,626.0,39370.0,11689442.0
Oregon,0.0,0.0,4190713.0
Oregon,85.0,1820.0,4190713.0
Rhode Island,0.0,0.0,1057315.0
Rhode Island,47.0,2799.0,1057315.0
South Carolina,22.0,1083.0,5084127.0
South Carolina,658.0,28950.0,5084127.0
Texas,819.0,24939.0,28701845.0
Utah,267.0,81050.0,3161105.0
Virginia,27.0,1249.0,8517685.0
Wisconsin,163.0,24281.0,5813568.0
Wyoming,6.0,1239.0,577737.0
Alaska,0.0,0.0,737438.0
Alaska,9.0,2574.0,737438.0
California,0.0,9.0,39557045.0
Delaware,31.0,3184.0,967171.0
Delaware,43.0,9222.0,967171.0
District of Columbia,20.0,1334.0,702455.0
Florida,1183.0,26949.0,21299325.0
Florida,1183.0,22473.0,21299325.0
Georgia,111.0,3929.0,10519475.0
Idaho,52.0,1469.0,1754208.0
Idaho,300.0,37090.0,1754208.0
Illinois,2246.0,115384.0,12741080.0
Indiana,0.0,0.0,6691878.0
Indiana,1065.0,15677.0,6691878.0
Kansas,0.0,0.0,2911510.0
Kentucky,191.0,4996.0,4468402.0
Kentucky,134.0,5920.0,4468402.0
Louisiana,0.0,0.0,4659978.0
Massachusetts,555.0,7396.0,6902149.0
Mississippi,0.0,0.0,2986530.0
Montana,1.0,62.0,1062305.0
Nevada,217.0,3939.0,3034392.0
North Carolina,883.0,89877.0,10383620.0
North Dakota,24.0,2893.0,760077.0
North Dakota,409.0,35336.0,760077.0
Ohio,708.0,16276.0,11689442.0
Ohio,665.0,30832.0,11689442.0
Oklahoma,154.0,22730.0,3943079.0
Pennsylvania,452.0,22008.0,12807060.0
Vermont,0.0,0.0,626299.0
Vermont,1.0,210.0,626299.0
Vermont,0.0,128.0,626299.0
Virginia,408.0,56645.0,8517685.0
West Virginia,23.0,3674.0,1805832.0
Alaska,0.0,0.0,737438.0
Alaska,4.0,658.0,737438.0
Arizona,1335.0,27825.0,7171646.0
Arkansas,0.0,0.0,3013825.0
District of Columbia,85.0,1526.0,702455.0
District of Columbia,34.0,4286.0,702455.0
Florida,1054.0,96271.0,21299325.0
Georgia,623.0,66477.0,10519475.0
Idaho,160.0,22560.0,1754208.0
Illinois,99.0,5992.0,12741080.0
Illinois,543.0,56609.0,12741080.0
Indiana,49.0,2158.0,6691878.0
Iowa,0.0,0.0,3156145.0
Kansas,512.0,28545.0,2911510.0
Massachusetts,1208.0,7180.0,6902149.0
Missouri,824.0,120214.0,6126452.0
New York,605.0,21560.0,19542209.0
Oklahoma,23.0,568.0,3943079.0
Pennsylvania,63.0,4963.0,12807060.0
Pennsylvania,1094.0,15010.0,12807060.0
Puerto Rico,66.0,4304.0,3195153.0
South Carolina,446.0,40875.0,5084127.0
Tennessee,456.0,62450.0,6770010.0
Tennessee,899.0,64533.0,6770010.0
Texas,2438.0,163567.0,28701845.0
Utah,103.0,11911.0,3161105.0
Utah,167.0,36115.0,3161105.0
Vermont,11.0,1993.0,626299.0
Virginia,388.0,18180.0,8517685.0
West Virginia,1.0,162.0,1805832.0
West Virginia,40.0,963.0,1805832.0
Wisconsin,314.0,5442.0,5813568.0
Wyoming,0.0,0.0,577737.0
Alabama,249.0,6124.0,4887871.0
Alabama,611.0,55911.0,4887871.0
Arizona,0.0,1.0,7171646.0
Colorado,0.0,0.0,5695564.0
Colorado,0.0,0.0,5695564.0
Connecticut,0.0,0.0,3572665.0
Connecticut,2188.0,24572.0,3572665.0
District of Columbia,33.0,3091.0,702455.0
Hawaii,0.0,0.0,1420491.0
Hawaii,0.0,0.0,1420491.0
Idaho,8.0,515.0,1754208.0
Iowa,373.0,12407.0,3156145.0
Iowa,181.0,9522.0,3156145.0
Kansas,0.0,0.0,2911510.0
Kansas,9.0,434.0,2911510.0
Kentucky,423.0,71822.0,4468402.0
Louisiana,886.0,11915.0,4659978.0
Maryland,658.0,14781.0,6042718.0
Maryland,198.0,20556.0,6042718.0
Massachusetts,559.0,59593.0,6902149.0
Mississippi,339.0,11724.0,2986530.0
Mississippi,590.0,31500.0,2986530.0
Mississippi,810.0,24203.0,2986530.0
Missouri,424.0,6406.0,6126452.0
Missouri,741.0,44182.0,6126452.0
Nebraska,366.0,57675.0,1929268.0
Nevada,0.0,0.0,3034392.0
New Hampshire,3.0,357.0,1356458.0
New Hampshire,173.0,2505.0,1356458.0
North Carolina,846.0,64003.0,10383620.0
North Dakota,18.0,999.0,760077.0
Rhode Island,87.0,8126.0,1057315.0
South Carolina,304.0,31311.0,5084127.0
Tennessee,0.0,0.0,6770010.0
Utah,5.0,888.0,3161105.0
Utah,41.0,3784.0,3161105.0
Utah,59.0,12420.0,3161105.0
Utah,132.0,17979.0,3161105.0
Virginia,0.0,0.0,8517685.0
Washington,224.0,5425.0,7535591.0
Washington,408.0,57518.0,7535591.0
West Virginia,140.0,5601.0,1805832.0
Wyoming,0.0,109.0,577737.0
Alabama,524.0,43317.0,4887871.0
Arizona,25.0,1288.0,7171646.0
Arizona,738.0,59292.0,7171646.0
California,2863.0,106640.0,39557045.0
Florida,0.0,0.0,21299325.0
Georgia,1881.0,84119.0,10519475.0
Idaho,96.0,14599.0,1754208.0
Indiana,325.0,20560.0,6691878.0
Indiana,1391.0,159619.0,6691878.0
Iowa,156.0,15679.0,3156145.0
Iowa,358.0,39263.0,3156145.0
Kansas,227.0,18576.0,2911510.0
Louisiana,1666.0,22764.0,4659978.0
Maine,47.0,5095.0,1338404.0
Maryland,459.0,33639.0,6042718.0
Mississippi,0.0,0.0,2986530.0
Nebraska,65.0,8076.0,1929268.0
Nevada,367.0,51410.0,3034392.0
New Hampshire,69.0,1789.0,1356458.0
New Jersey,366.0,18696.0,8908520.0
Oklahoma,299.0,35591.0,3943079.0
Oregon,18.0,689.0,4190713.0
Pennsylvania,0.0,0.0,12807060.0
Rhode Island,40.0,2209.0,1057315.0
Texas,3242.0,141787.0,28701845.0
Utah,52.0,20935.0,3161105.0
Virginia,0.0,0.0,8517685.0
Virginia,446.0,32919.0,8517685.0
Washington,1.0,6.0,7535591.0
West Virginia,104.0,8610.0,1805832.0
Wisconsin,165.0,10256.0,5813568.0
Wyoming,0.0,0.0,577737.0
Alabama,630.0,49789.0,4887871.0
Alabama,602.0,38234.0,4887871.0
Alaska,14.0,2457.0,737438.0
California,1910.0,119467.0,39557045.0
California,1774.0,113028.0,39557045.0
Colorado,69.0,2966.0,5695564.0
Colorado,148.0,14094.0,5695564.0
Delaware,64.0,10703.0,967171.0
Florida,3338.0,317952.0,21299325.0
Hawaii,8.0,1194.0,1420491.0
Idaho,0.0,0.0,1754208.0
Indiana,1035.0,80559.0,6691878.0
Kentucky,229.0,4080.0,4468402.0
Maine,0.0,0.0,1338404.0
Maryland,194.0,16476.0,6042718.0
Maryland,494.0,53089.0,6042718.0
Massachusetts,0.0,1.0,6902149.0
Massachusetts,757.0,67556.0,6902149.0
Minnesota,164.0,18160.0,5611179.0
Mississippi,241.0,5878.0,2986530.0
Mississippi,473.0,8708.0,2986530.0
Nebraska,3.0,172.0,1929268.0
New Hampshire,0.0,0.0,1356458.0
New Mexico,145.0,8453.0,2095428.0
North Carolina,760.0,47201.0,10383620.0
Oklahoma,0.0,0.0,3943079.0
Puerto Rico,0.0,0.0,3195153.0
South Carolina,250.0,5766.0,5084127.0
South Carolina,973.0,52617.0,5084127.0
South Dakota,56.0,8880.0,882235.0
Tennessee,700.0,41206.0,6770010.0
Texas,3433.0,297440.0,28701845.0
Vermont,6.0,115.0,626299.0
Virginia,411.0,27101.0,8517685.0
Washington,351.0,18832.0,7535591.0
West Virginia,0.0,0.0,1805832.0
West Virginia,34.0,885.0,1805832.0
Arizona,329.0,27439.0,7171646.0
Arkansas,572.0,22473.0,3013825.0
California,1514.0,298121.0,39557045.0
Colorado,708.0,12318.0,5695564.0
Colorado,107.0,10615.0,5695564.0
Connecticut,0.0,0.0,3572665.0
Connecticut,110.0,3296.0,3572665.0
Connecticut,108.0,13657.0,3572665.0
District of Columbia,9.0,495.0,702455.0
District of Columbia,34.0,1799.0,702455.0
Florida,1836.0,196772.0,21299325.0
Georgia,921.0,20799.0,10519475.0
Hawaii,27.0,1288.0,1420491.0
Kentucky,0.0,0.0,4468402.0
Kentucky,241.0,20444.0,4468402.0
Louisiana,430.0,18179.0,4659978.0
Louisiana,728.0,58185.0,4659978.0
Maine,5.0,303.0,1338404.0
Maine,36.0,1230.0,1338404.0
Maryland,18.0,1660.0,6042718.0
Michigan,303.0,22451.0,9995915.0
Minnesota,12.0,629.0,5611179.0
Minnesota,226.0,21401.0,5611179.0
Mississippi,473.0,33110.0,2986530.0
Missouri,0.0,0.0,6126452.0
Montana,0.0,0.0,1062305.0
Nebraska,67.0,4109.0,1929268.0
New Jersey,1517.0,11222.0,8908520.0
New Jersey,643.0,99418.0,8908520.0
New Mexico,0.0,0.0,2095428.0
New Mexico,98.0,4083.0,2095428.0
New York,0.0,0.0,19542209.0
New York,21767.0,228519.0,19542209.0
North Carolina,0.0,0.0,10383620.0
North Dakota,40.0,5347.0,760077.0
Oklahoma,53.0,7339.0,3943079.0
Oregon,115.0,9836.0,4190713.0
Puerto Rico,0.0,0.0,3195153.0
Rhode Island,353.0,8133.0,1057315.0
Rhode Island,461.0,6307.0,1057315.0
Rhode Island,155.0,1885.0,1057315.0
South Dakota,0.0,0.0,882235.0
South Dakota,39.0,2000.0,882235.0
South Dakota,37.0,4745.0,882235.0
Virginia,628.0,27677.0,8517685.0
Alabama,358.0,11013.0,4887871.0
Alaska,55.0,7921.0,737438.0
Arkansas,53.0,2758.0,3013825.0
California,2141.0,61821.0,39557045.0
Connecticut,343.0,29466.0,3572665.0
Delaware,214.0,4764.0,967171.0
Delaware,76.0,3314.0,967171.0
Florida,0.0,0.0,21299325.0
Florida,3130.0,83045.0,21299325.0
Georgia,958.0,42764.0,10519475.0
Hawaii,44.0,6361.0,1420491.0
Hawaii,25.0,2939.0,1420491.0
Idaho,10.0,3278.0,1754208.0
Indiana,336.0,25823.0,6691878.0
Maryland,262.0,19903.0,6042718.0
Massachusetts,451.0,9182.0,6902149.0
Montana,5.0,198.0,1062305.0
Nevada,323.0,29632.0,3034392.0
Nevada,177.0,20781.0,3034392.0
New Hampshire,44.0,801.0,1356458.0
New York,406.0,48894.0,19542209.0
North Dakota,278.0,22070.0,760077.0
Ohio,0.0,0.0,11689442.0
Ohio,921.0,15828.0,11689442.0
Ohio,650.0,31996.0,11689442.0
Oklahoma,112.0,2800.0,3943079.0
Oklahoma,306.0,35563.0,3943079.0
South Carolina,1008.0,29976.0,5084127.0
South Dakota,0.0,0.0,882235.0
South Dakota,16.0,2341.0,882235.0
South Dakota,521.0,34472.0,882235.0
Tennessee,176.0,8344.0,6770010.0
Texas,921.0,98458.0,28701845.0
Utah,0.0,0.0,3161105.0
Utah,67.0,5125.0,3161105.0
Washington,211.0,12887.0,7535591.0
Wisconsin,216.0,46671.0,5813568.0
Wisconsin,1155.0,173861.0,5813568.0
Wyoming,4.0,584.0,577737.0
Wyoming,11.0,1124.0,577737.0
Wyoming,106.0,5602.0,577737.0
Alaska,6.0,231.0,737438.0
Alaska,1.0,124.0,737438.0
Alaska,26.0,7510.0,737438.0
Arizona,295.0,6366.0,7171646.0
Arizona,683.0,75772.0,7171646.0
Arkansas,409.0,26893.0,3013825.0
California,3808.0,211919.0,39557045.0
District of Columbia,0.0,0.0,702455.0
Georgia,0.0,0.0,10519475.0
Idaho,0.0,0.0,1754208.0
Idaho,173.0,11365.0,1754208.0
Iowa,782.0,24378.0,3156145.0
Kansas,85.0,12994.0,2911510.0
Kansas,93.0,15235.0,2911510.0
Louisiana,0.0,0.0,4659978.0
Louisiana,347.0,31777.0,4659978.0
Maine,0.0,0.0,1338404.0
Maine,9.0,617.0,1338404.0
Massachusetts,0.0,1.0,6902149.0
Michigan,616.0,59392.0,9995915.0
Minnesota,707.0,19714.0,5611179.0
Minnesota,1141.0,170291.0,5611179.0
Mississippi,365.0,21970.0,2986530.0
Mississippi,373.0,24677.0,2986530.0
Missouri,205.0,8239.0,6126452.0
Missouri,282.0,35019.0,6126452.0
Montana,44.0,3456.0,1062305.0
Montana,306.0,29397.0,1062305.0
Nebraska,58.0,7034.0,1929268.0
Nevada,376.0,31778.0,3034392.0
New Hampshire,74.0,9250.0,1356458.0
New Jersey,0.0,0.0,8908520.0
New Jersey,0.0,0.0,8908520.0
New Jersey,784.0,9993.0,8908520.0
New Mexico,233.0,4278.0,2095428.0
North Carolina,394.0,9542.0,10383620.0
Ohio,0.0,0.0,11689442.0
Oregon,130.0,11412.0,4190713.0
Pennsylvania,2412.0,43008.0,12807060.0
Pennsylvania,3080.0,28158.0,12807060.0
Pennsylvania,1535.0,154044.0,12807060.0
Puerto Rico,215.0,9479.0,3195153.0
Puerto Rico,284.0,18407.0,3195153.0
Rhode Island,172.0,23849.0,1057315.0
South Dakota,297.0,9943.0,882235.0
Tennessee,798.0,68460.0,6770010.0
Vermont,0.0,0.0,626299.0
Virginia,525.0,14598.0,8517685.0
West Virginia,18.0,895.0,1805832.0
West Virginia,231.0,14309.0,1805832.0
Alabama,23.0,1063.0,4887871.0
Arizona,0.0,0.0,7171646.0
Arizona,621.0,16672.0,7171646.0
Arkansas,137.0,13524.0,3013825.0
Arkansas,556.0,28493.0,3013825.0
Delaware,143.0,1976.0,967171.0
Delaware,72.0,4338.0,967171.0
Georgia,1388.0,47555.0,10519475.0
Illinois,1124.0,120827.0,12741080.0
Kansas,531.0,72972.0,2911510.0
Kentucky,311.0,38379.0,4468402.0
Maine,18.0,659.0,1338404.0
Maine,6.0,1273.0,1338404.0
Massachusetts,3473.0,56943.0,6902149.0
Mississippi,20.0,937.0,2986530.0
Missouri,19.0,1550.0,6126452.0
Missouri,522.0,41080.0,6126452.0
Montana,38.0,2998.0,1062305.0
Nebraska,0.0,0.0,1929268.0
Nevada,174.0,3575.0,3034392.0
New Hampshire,126.0,1131.0,1356458.0
New Jersey,4781.0,41793.0,8908520.0
New York,2775.0,75853.0,19542209.0
North Carolina,0.0,0.0,10383620.0
North Carolina,562.0,58452.0,10383620.0
Oklahoma,199.0,3050.0,3943079.0
Oregon,137.0,8221.0,4190713.0
Puerto Rico,161.0,10138.0,3195153.0
Puerto Rico,160.0,9178.0,3195153.0
South Carolina,557.0,28670.0,5084127.0
Tennessee,694.0,48974.0,6770010.0
Texas,2451.0,161976.0,28701845.0
Vermont,1.0,227.0,626299.0
Washington,214.0,11122.0,7535591.0
Washington,240.0,19979.0,7535591.0
Washington,105.0,34716.0,7535591.0
West Virginia,0.0,0.0,1805832.0
West Virginia,99.0,3670.0,1805832.0
Wyoming,13.0,2098.0,577737.0
Arkansas,0.0,0.0,3013825.0
Arkansas,8.0,523.0,3013825.0
Arkansas,344.0,18713.0,3013825.0
Connecticut,378.0,4313.0,3572665.0
Delaware,0.0,0.0,967171.0
District of Columbia,242.0,4478.0,702455.0
Florida,1188.0,117654.0,21299325.0
Georgia,1021.0,22335.0,10519475.0
Indiana,331.0,28042.0,6691878.0
Indiana,700.0,59339.0,6691878.0
Kansas,351.0,25768.0,2911510.0
Kentucky,0.0,0.0,4468402.0
Louisiana,1001.0,32614.0,4659978.0
Louisiana,501.0,45765.0,4659978.0
Maine,63.0,3863.0,1338404.0
Maryland,0.0,0.0,6042718.0
Maryland,0.0,0.0,6042718.0
Michigan,462.0,8017.0,9995915.0
Michigan,330.0,24989.0,9995915.0
Minnesota,223.0,23270.0,5611179.0
Minnesota,422.0,49338.0,5611179.0
Mississippi,496.0,15240.0,2986530.0
Montana,5.0,452.0,1062305.0
Montana,195.0,19730.0,1062305.0
New Jersey,126.0,10300.0,8908520.0
New Mexico,4.0,315.0,2095428.0
New Mexico,137.0,4752.0,2095428.0
New York,0.0,0.0,19542209.0
New York,282.0,19742.0,19542209.0
New York,367.0,23893.0,19542209.0
North Carolina,443.0,37712.0,10383620.0
Ohio,1128.0,205366.0,11689442.0
Oklahoma,0.0,0.0,3943079.0
Oklahoma,231.0,28466.0,3943079.0
Pennsylvania,670.0,48692.0,12807060.0
Puerto Rico,8.0,239.0,3195153.0
Rhode Island,11.0,488.0,1057315.0
Rhode Island,47.0,2927.0,1057315.0
South Carolina,0.0,0.0,5084127.0
South Carolina,0.0,0.0,5084127.0
South Dakota,29.0,1771.0,882235.0
Texas,0.0,0.0,28701845.0
Texas,70.0,3809.0,28701845.0
Utah,145.0,41614.0,3161105.0
Vermont,36.0,573.0,626299.0
Virginia,347.0,40780.0,8517685.0
Washington,589.0,8895.0,7535591.0
Wisconsin,208.0,22663.0,5813568.0
Wyoming,9.0,344.0,577737.0
Alabama,0.0,0.0,4887871.0
Arizona,587.0,12281.0,7171646.0
Arizona,2049.0,94782.0,7171646.0
California,0.0,3.0,39557045.0
California,173.0,8221.0,39557045.0
California,1858.0,41897.0,39557045.0
District of Columbia,0.0,0.0,702455.0
Georgia,752.0,34228.0,10519475.0
Hawaii,66.0,4125.0,1420491.0
Illinois,0.0,0.0,12741080.0
Illinois,769.0,36930.0,12741080.0
Illinois,2945.0,309757.0,12741080.0
Indiana,506.0,11020.0,6691878.0
Kentucky,284.0,41618.0,4468402.0
Massachusetts,89.0,9922.0,6902149.0
Massachusetts,396.0,11098.0,6902149.0
Minnesota,331.0,4507.0,5611179.0
Minnesota,426.0,11453.0,5611179.0
Nevada,0.0,0.0,3034392.0
New Jersey,177.0,13315.0,8908520.0
New Jersey,228.0,32611.0,8908520.0
New Mexico,0.0,0.0,2095428.0
New York,836.0,116986.0,19542209.0
Ohio,55.0,2199.0,11689442.0
Ohio,497.0,61710.0,11689442.0
Oregon,50.0,1733.0,4190713.0
Puerto Rico,44.0,339.0,3195153.0
South Dakota,1.0,108.0,882235.0
Tennessee,165.0,11831.0,6770010.0
Texas,0.0,0.0,28701845.0
Vermont,1.0,206.0,626299.0
Washington,0.0,0.0,7535591.0
West Virginia,276.0,23382.0,1805832.0
Wisconsin,0.0,0.0,5813568.0
Wisconsin,0.0,0.0,5813568.0
Wisconsin,293.0,11549.0,5813568.0
Wisconsin,830.0,54261.0,5813568.0
Wyoming,128.0,20007.0,577737.0
Alabama,320.0,20277.0,4887871.0
Alaska,19.0,2672.0,737438.0
Alaska,39.0,16221.0,737438.0
California,3132.0,269138.0,39557045.0
Colorado,834.0,52729.0,5695564.0
Connecticut,43.0,4671.0,3572665.0
Connecticut,404.0,46088.0,3572665.0
Delaware,0.0,0.0,967171.0
District of Columbia,215.0,3828.0,702455.0
District of Columbia,19.0,1940.0,702455.0
Florida,2444.0,96031.0,21299325.0
Georgia,947.0,105061.0,10519475.0
Hawaii,0.0,204.0,1420491.0
Hawaii,16.0,414.0,1420491.0
Idaho,22.0,855.0,1754208.0
Idaho,108.0,9967.0,1754208.0
Illinois,1533.0,22925.0,12741080.0
Iowa,155.0,6648.0,3156145.0
Kansas,58.0,4670.0,2911510.0
Maine,16.0,928.0,1338404.0
Maine,9.0,860.0,1338404.0
Massachusetts,3284.0,30393.0,6902149.0
Michigan,292.0,7951.0,9995915.0
Michigan,3699.0,35527.0,9995915.0
Minnesota,766.0,56635.0,5611179.0
Missouri,0.0,0.0,6126452.0
Missouri,371.0,5617.0,6126452.0
Nevada,90.0,9828.0,3034392.0
Nevada,475.0,21140.0,3034392.0
New Hampshire,0.0,0.0,1356458.0
New Hampshire,44.0,2818.0,1356458.0
New Jersey,739.0,59192.0,8908520.0
New Mexico,550.0,50605.0,2095428.0
New York,6157.0,66398.0,19542209.0
New York,875.0,140437.0,19542209.0
North Carolina,12.0,1578.0,10383620.0
North Carolina,830.0,37753.0,10383620.0
North Dakota,0.0,0.0,760077.0
North Dakota,42.0,1510.0,760077.0
Ohio,1179.0,17486.0,11689442.0
Oregon,0.0,1.0,4190713.0
Oregon,54.0,4413.0,4190713.0
Puerto Rico,17.0,405.0,3195153.0
South Carolina,222.0,5012.0,5084127.0
South Carolina,245.0,24538.0,5084127.0
Tennessee,0.0,0.0,6770010.0
Tennessee,23.0,2391.0,6770010.0
Vermont,13.0,293.0,626299.0
Arkansas,577.0,45169.0,3013825.0
California,1785.0,318912.0,39557045.0
Colorado,245.0,6337.0,5695564.0
Delaware,142.0,4415.0,967171.0
District of Columbia,22.0,1866.0,702455.0
Idaho,240.0,18934.0,1754208.0
Illinois,0.0,2.0,12741080.0
Indiana,0.0,0.0,6691878.0
Iowa,248.0,20386.0,3156145.0
Iowa,710.0,102121.0,3156145.0
Kansas,81.0,5287.0,2911510.0
Kentucky,11.0,628.0,4468402.0
Maryland,1122.0,20082.0,6042718.0
Maryland,1392.0,31036.0,6042718.0
Massachusetts,535.0,26460.0,6902149.0
Michigan,1865.0,191536.0,9995915.0
Montana,0.0,0.0,1062305.0
Montana,76.0,5650.0,1062305.0
Nebraska,100.0,9820.0,1929268.0
Nebraska,104.0,5076.0,1929268.0
New Hampshire,7.0,991.0,1356458.0
New Hampshire,43.0,9910.0,1356458.0
New Mexico,119.0,3096.0,2095428.0
New Mexico,141.0,17055.0,2095428.0
New York,1371.0,22684.0,19542209.0
North Dakota,103.0,10030.0,760077.0
Ohio,1048.0,132398.0,11689442.0
Oregon,100.0,6796.0,4190713.0
Pennsylvania,0.0,0.0,12807060.0
Pennsylvania,2036.0,118495.0,12807060.0
Rhode Island,0.0,0.0,1057315.0
Rhode Island,136.0,14095.0,1057315.0
Tennessee,1249.0,113821.0,6770010.0
Utah,0.0,0.0,3161105.0
Vermont,26.0,1454.0,626299.0
Virginia,823.0,28760.0,8517685.0
Washington,304.0,7375.0,7535591.0
Wisconsin,43.0,1412.0,5813568.0
Wyoming,37.0,7350.0,577737.0
